AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_syllables,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,file
3.783,2.823,8.47,0.0362,0.0835,0.1197,0.444,0.883,0.751,635,224.92,167.88,76,23,53,83,ALL_007_F_PBR_ENG_ST1.TextGrid
3.568,2.735,7.96,0.0481,0.0786,0.1268,0.487,0.787,0.673,852,311.51,238.78,108,41,67,113,ALL_007_F_PBR_ENG_ST2.TextGrid
2.99,1.782,3.78,0.1704,0.0987,0.2691,0.724,1.047,0.843,223,125.14,74.57,60,38,22,22,ALL_008_F_PBR_ENG_ST1.TextGrid
3.253,1.868,3.73,0.1674,0.1046,0.272,0.695,1.067,0.838,239,127.97,73.47,65,40,25,31,ALL_008_F_PBR_ENG_ST2.TextGrid
3.357,1.969,4.63,0.1186,0.1017,0.2203,0.784,1.15,0.953,236,119.84,70.29,52,28,24,27,ALL_009_F_PBR_ENG_ST1.TextGrid
3.386,1.961,4.45,0.1475,0.082,0.2295,0.994,0.829,0.935,427,217.73,126.11,98,63,35,36,ALL_009_F_PBR_ENG_ST2.TextGrid
4.105,2.343,5.15,0.1128,0.0832,0.1959,0.75,1.186,0.935,541,230.89,131.79,106,61,45,57,ALL_010_M_RUS_ENG_ST1.TextGrid
3.954,2.118,4.16,0.1343,0.1095,0.2438,0.749,1.084,0.899,283,133.63,71.57,69,38,31,36,ALL_010_M_RUS_ENG_ST2.TextGrid
3.775,2.732,7.04,0.0505,0.0946,0.1451,0.492,0.806,0.697,317,116.04,83.98,46,16,30,36,ALL_011_F_CMN_ENG_ST1.TextGrid
3.596,2.62,6.62,0.0612,0.0939,0.1551,0.559,0.739,0.668,245,93.51,68.14,38,15,23,30,ALL_011_F_CMN_ENG_ST2.TextGrid
3.546,2.715,6.88,0.0691,0.0764,0.1455,0.566,0.618,0.593,275,101.28,77.56,40,19,21,45,ALL_012_M_CMN_ENG_ST1.TextGrid
3.433,2.593,6.67,0.0782,0.0749,0.1531,0.595,0.64,0.617,307,118.41,89.43,47,24,23,41,ALL_012_M_CMN_ENG_ST2.TextGrid
2.951,1.877,3.75,0.1875,0.0833,0.2708,0.53,1.135,0.716,240,127.87,81.33,65,45,20,29,ALL_013_M_JPN_ENG_ST1.TextGrid
3.069,1.892,4.1,0.1616,0.0854,0.247,0.671,1.106,0.821,328,173.4,106.87,81,53,28,29,ALL_013_M_JPN_ENG_ST2.TextGrid
3.93,2.529,5.41,0.1004,0.0884,0.1888,0.697,0.804,0.747,249,98.47,63.36,47,25,22,29,ALL_014_M_TUR_ENG_ST1.TextGrid
3.782,2.578,5.8,0.09,0.085,0.175,0.639,0.776,0.705,400,155.13,105.76,70,36,34,49,ALL_014_M_TUR_ENG_ST2.TextGrid
3.57,2.525,6.23,0.0556,0.108,0.1636,0.459,0.837,0.708,324,128.31,90.76,53,18,35,40,ALL_016_M_CMN_ENG_ST1.TextGrid
3.49,2.585,6.25,0.0743,0.0886,0.1629,0.467,0.74,0.616,350,135.4,100.29,57,26,31,31,ALL_016_M_CMN_ENG_ST2.TextGrid
3.44,2.403,8.56,0.0584,0.062,0.1204,0.544,1.511,1.043,274,114.05,79.64,33,16,17,35,ALL_017_F_KOR_ENG_ST1.TextGrid
3.393,2.255,7.5,0.0778,0.0593,0.137,0.83,1.42,1.085,270,119.73,79.58,37,21,16,32,ALL_017_F_KOR_ENG_ST2.TextGrid
2.96,1.88,4.06,0.1144,0.1349,0.2493,0.452,1.055,0.779,341,181.4,115.21,85,39,46,50,ALL_018_F_CMN_ENG_ST1.TextGrid
3.437,2.14,5.28,0.0741,0.1176,0.1917,0.59,1.127,0.919,459,214.44,133.54,88,34,54,68,ALL_018_F_CMN_ENG_ST2.TextGrid
4.873,3.338,6.72,0.0725,0.0802,0.1527,0.503,0.722,0.618,262,78.5,53.77,40,19,21,37,ALL_020_M_CMN_ENG_ST1.TextGrid
5.083,3.601,7.53,0.0554,0.0812,0.1365,0.519,0.644,0.593,271,75.25,53.31,37,15,22,33,ALL_020_M_CMN_ENG_ST2.TextGrid
4.342,2.586,4.49,0.1494,0.0758,0.2251,0.611,0.859,0.695,462,178.64,106.4,104,69,35,42,ALL_021_M_CMN_ENG_ST1.TextGrid
3.99,2.606,5.25,0.1212,0.0712,0.1923,0.59,0.867,0.692,520,199.55,130.31,100,63,37,38,ALL_021_M_CMN_ENG_ST2.TextGrid
3.577,1.742,3.37,0.1719,0.1328,0.3047,0.733,1.269,0.966,128,73.47,35.78,39,22,17,15,ALL_023_M_KOR_ENG_ST1.TextGrid
3.823,1.978,3.77,0.1807,0.0964,0.2771,0.99,0.674,0.88,83,41.95,21.71,23,15,8,8,ALL_023_M_KOR_ENG_ST2.TextGrid
3.666,2.04,3.45,0.2012,0.0947,0.2959,0.737,0.731,0.735,169,82.85,46.1,50,34,16,18,ALL_025_M_TUR_ENG_ST1.TextGrid
3.875,2.355,4.68,0.148,0.0655,0.2135,0.714,0.931,0.78,473,200.89,122.06,101,70,31,60,ALL_025_M_TUR_ENG_ST2.TextGrid
3.276,2.343,5.54,0.0764,0.1111,0.1875,0.556,0.712,0.649,144,61.46,43.95,27,11,16,20,ALL_026_F_JPN_ENG_ST1.TextGrid
3.377,2.219,5.98,0.0996,0.0677,0.1673,0.698,1.255,0.923,251,113.1,74.32,42,25,17,28,ALL_026_F_JPN_ENG_ST2.TextGrid
5.141,2.938,5.58,0.0924,0.0924,0.1848,0.79,0.789,0.789,184,62.63,35.79,34,17,17,28,ALL_029_M_TUR_ENG_ST1.TextGrid
4.755,3.134,5.38,0.0905,0.0952,0.1857,0.497,0.67,0.586,210,67.01,44.16,39,19,20,25,ALL_029_M_TUR_ENG_ST2.TextGrid
