file_id,task,AR_auto,AR_manual,SR_auto,SR_manual,MLR_auto,MLR_manual,MCPR_auto,MCPR_manual,ECPR_auto,ECPR_manual,PR_auto,PR_manual,MCPD_auto,MCPD_manual,ECPD_auto,ECPD_manual,MPD_auto,MPD_manual
ALL_083_F_CCT_ENG_ST2,ST2,3.568,3.385,2.099,2.185,4.73,5.46,0.1186,0.0891,0.0979,0.099,0.2165,0.1881,0.72,0.604,1.132,1.094,0.906,0.862
ALL_084_F_CCT_ENG_ST1,ST1,3.702,3.547,2.139,2.074,6.82,6.62,0.0602,0.0581,0.0902,0.0969,0.1504,0.155,1.034,0.898,1.5,1.528,1.313,1.291
ALL_084_F_CCT_ENG_ST2,ST2,3.83,3.6,2.167,1.95,5.9,6.27,0.0957,0.0821,0.0783,0.0821,0.1739,0.1643,1.04,0.881,1.291,1.98,1.153,1.431
ALL_085_F_CCT_ENG_ST1,ST1,2.877,2.848,1.705,1.771,3.08,3.38,0.2078,0.1875,0.1212,0.1125,0.329,0.3,0.498,0.482,1.119,1.095,0.727,0.712
ALL_085_F_CCT_ENG_ST2,ST2,2.932,3.106,1.765,1.958,3.51,4.2,0.1796,0.1492,0.1092,0.0921,0.2887,0.2413,0.628,0.61,1.031,1.062,0.781,0.782
ALL_086_F_CCT_ENG_ST1,ST1,3.04,3.188,1.293,1.418,3.0,3.29,0.2242,0.1934,0.1152,0.116,0.3394,0.3094,0.625,0.65,2.643,2.292,1.31,1.265
ALL_087_M_CCT_ENG_ST1,ST1,4.57,4.493,2.129,2.293,4.24,4.77,0.1179,0.1,0.1231,0.1143,0.241,0.2143,0.692,0.805,1.375,1.164,1.041,0.997
ALL_087_M_CCT_ENG_ST2,ST2,4.452,4.497,2.419,2.521,6.08,6.02,0.0633,0.0688,0.1055,0.1012,0.1688,0.17,0.924,0.793,1.235,1.183,1.119,1.025
ALL_088_M_CCT_ENG_ST1,ST1,3.653,3.778,2.009,2.121,5.71,5.74,0.0769,0.085,0.1026,0.0931,0.1795,0.1781,0.714,0.684,1.649,1.597,1.248,1.161
ALL_088_M_CCT_ENG_ST2,ST2,4.291,4.144,2.097,2.112,5.49,5.53,0.068,0.0627,0.1165,0.1205,0.1845,0.1831,0.769,0.718,1.645,1.553,1.322,1.268
ALL_090_F_TUR_ENG_ST1,ST1,3.967,3.941,2.221,2.18,4.04,3.82,0.1284,0.1308,0.1193,0.1308,0.2477,0.2617,0.687,0.665,0.921,0.901,0.8,0.783
ALL_090_F_TUR_ENG_ST2,ST2,4.167,3.989,2.606,2.491,5.44,5.65,0.1029,0.0769,0.0809,0.1,0.1838,0.1769,0.663,0.454,0.934,1.159,0.782,0.852
